time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-7.83183283468e-08,-8.18600440387e-08,10.0044358213,6.28289501501,8.45691764875e-05,0.0,-7.37578049957e-06,-1.59693670191e-05,0.147852294358,-0.0168932857402,0.00408932543091,0.0,451.9981962109337,452.3275476407033,452.1735278612113,450.81088990627387
0.12000000000000001,-4.28393960879e-06,-1.14564040172e-05,10.0199048933,6.2826145444,0.000769088330351,0.0,-0.000192076841712,-0.000432010561832,0.367737883514,0.0125428934545,0.0230511102386,0.0,472.5096974771501,473.9688890930363,472.53835080355867,474.8017465580777
0.18,-3.6847147528e-05,-4.56913279564e-05,10.0448177421,0.000632289913685,0.00217192264785,0.0,-0.00103438202973,-0.000606957025363,0.462656019517,0.0319327711394,0.02403141042,0.0,435.33883895280684,435.42091000983703,434.69574699741287,436.3172908820775
0.23999999999999996,-0.00015662420644,-5.87216108812e-05,10.0786242302,0.00253638084414,0.00335568882329,0.0,-0.00311370895327,0.000396059394809,0.664130483103,0.0313361122424,0.00932354231909,0.0,468.8613201318482,467.71736916459,468.22470607534274,468.17859932706335
0.3,-0.000414303720242,2.37391669502e-05,10.1211910518,0.00413910617757,0.00425187957628,0.0,-0.00555051771742,0.00252982737116,0.754706832688,0.0153307952183,0.024294370552,0.0,433.46118642562993,434.717206111512,435.32452537684645,433.98353988755895
0.36000000000000004,-0.000852122427333,0.000275455214403,10.172008964,0.00469337794391,0.00542620851887,0.0,-0.00919608615528,0.00594935078737,0.939088908192,-0.00716588926827,0.00788445797455,0.0,464.00680537524,462.7168854932178,464.5374153141262,462.77013526711016
0.4200000000000001,-0.00154431891798,0.000751250784822,10.2361742265,0.00501835795834,0.0055551341681,0.0,-0.0139182305158,0.00991232060727,1.19951654468,0.0229990749894,-0.0129359946779,0.0,487.56353202482853,486.00569295768804,484.18091257758,486.4447322056477
0.48000000000000015,-0.00249919448155,0.00146282532365,10.3125906181,0.00664115819353,0.00494129307718,0.0,-0.0178347855628,0.013970896695,1.34753304106,0.0341117042727,-0.00530529021647,0.0,453.1271992250283,453.7402706839629,452.7567210141042,453.6499684843864
0.5400000000000001,-0.00367254874746,0.00244971692913,10.3969530262,0.00872794607624,0.0044108139558,0.0,-0.0212332030612,0.0191404807883,1.46440317199,0.0360833063825,-0.0170660904096,0.0,443.7889556756452,442.82276640978273,444.6725044475835,444.834481714355
0.6000000000000002,-0.00504036651086,0.00380024587939,10.4893000203,0.0108678052853,0.0036892766812,0.0,-0.0242662053332,0.0261105612261,1.61362928323,0.0348130921532,-0.0034824688457,0.0,453.3390413477255,454.4292142854645,454.88203403668416,454.7808428450802
0.6600000000000003,-0.00656739198844,0.00558355112144,10.587697521,0.0131292168767,0.0041340796136,0.0,-0.0266512341742,0.0335391890618,1.66620943762,0.0428983178805,0.023250345875,0.0,422.8079119910268,425.1046078618705,424.10920570926675,424.80376930856977
0.7200000000000003,-0.00826487606663,0.00790099604869,10.6924222813,0.0158740762259,0.00518643633885,0.0,-0.0300698256828,0.0440003987901,1.82437191097,0.0509098011564,0.00254539563266,0.0,458.13901068824094,456.4898516241594,457.7343404903392,458.3725536911696
0.7800000000000004,-0.0101730796663,0.0108690648853,10.8041784722,0.0189617588589,0.00523494276176,0.0,-0.0335464940838,0.0552356559466,1.9007049174,0.0525419303873,-0.00291415510091,0.0,432.4623435057511,432.0022492520506,432.97994308803464,433.1190001898861
0.8400000000000004,-0.0122805242286,0.0145379904291,10.9187104511,0.0221837833799,0.00528360227431,0.0,-0.0366966800224,0.0673469684334,1.91699423392,0.0559213162054,0.00737889273604,0.0,413.36548185895526,414.27147941045934,412.3784821507657,412.679018151751
0.9000000000000005,-0.0145953936782,0.0190593793301,11.0371461001,0.0254178638189,0.00562400120218,0.0,-0.0405055978737,0.0837044822298,2.03065663083,0.0495217548056,0.00202295759607,0.0,445.54594814051745,445.10777643717086,444.6182786105642,444.0956153427727
0.9600000000000005,-0.0171521468817,0.0246639190979,11.163719411,0.0289215927085,0.00550382343044,0.0,-0.0447196974731,0.103468216055,2.18815494232,0.07194626491,-0.0116025418588,0.0,458.96796396581215,457.8853767225661,458.2543765704476,460.03550529720195
1.0200000000000005,-0.0199703207928,0.0316129511651,11.3022799342,0.0330486004238,0.00423132672285,0.0,-0.0491195093285,0.128671935421,2.43003038192,0.0615629604175,-0.0596651379911,0.0,487.0271620430417,483.4188900643447,483.82727356892866,483.04807087391737
1.0800000000000005,-0.0229905130653,0.040018453557,11.4507341251,0.0365703962099,0.0010346141165,0.0,-0.0512155725771,0.151867178611,2.51823926707,0.0522426333183,-0.0428624703946,0.0,439.10879049344237,440.4984412654853,438.56905691436026,437.7967032772248
1.1400000000000006,-0.0260731859262,0.0497753519154,11.6015264889,0.0395757307126,6.28152909966,0.0,-0.0513149289943,0.173626626144,2.50818321755,0.0453920019227,-0.0491435998761,0.0,407.88505927524955,407.322363024755,406.83448431897074,406.2224687799745
1.2000000000000006,-0.0291069632486,0.0610201440786,11.754987923,0.0425112741817,6.27879177217,0.0,-0.0495227631818,0.201479157526,2.60696272637,0.0551908027659,-0.0393762475855,0.0,441.8942680834307,442.6974207685022,442.8165632651193,443.6233502523729
1.2600000000000007,-0.0319621196623,0.0741476536543,11.9178273305,0.0458897416246,6.27600953929,0.0,-0.0453531654678,0.236479329684,2.82049298877,0.0584522472916,-0.0664706889824,0.0,478.01868380106015,475.9482394329783,478.9244796617421,479.1743789375686
